timestamp,value,is_anomaly
1,-206.601939328132,0
2,136.595836450649,0
3,-125.93698110887,0
4,753.121957607364,0
5,407.953074747585,0
6,100.28112792119,0
7,605.129958399402,0
8,758.875182596322,0
9,774.338929813258,0
10,550.31106705682,0
11,1217.61870776132,0
12,910.083555822483,0
13,637.065122800728,0
14,168.932763969853,0
15,1331.14056513222,0
16,998.034798207072,0
17,1058.84720582412,0
18,1424.95083045477,0
19,1429.60251003735,0
20,1396.37388683476,0
21,1542.64902179516,0
22,1532.58341111284,0
23,1330.06273823108,0
24,674.961215371762,0
25,1562.94636069412,0
26,1359.77884910598,0
27,1343.53272167597,0
28,921.150648100589,0
29,1258.66160559241,0
30,1560.29532277258,0
31,1872.76275177045,0
32,1386.15507067857,0
33,1541.7001275105,0
34,1384.86068321112,0
35,932.271393638658,0
36,1232.28474567656,0
37,1216.9237689998,0
38,1301.86750572612,0
39,1656.03105724035,0
40,1511.39766898603,0
41,1167.72996686775,0
42,1098.36757291934,0
43,1369.7251603709,0
44,1276.96667058719,0
45,815.427444458033,0
46,757.073770685207,0
47,1057.0841681542,0
48,1133.40531224757,0
49,782.072077781205,0
50,1048.93805124387,0
51,825.068911048573,0
52,424.873858430705,0
53,672.865912038811,0
54,117.171162559681,0
55,895.08711455512,0
56,1004.96551876799,0
57,155.733793522365,0
58,-141.153895973217,0
59,319.749446204327,0
60,12.9424655381856,0
61,779.019386993954,0
62,-102.29161319685,0
63,65.9970063716506,0
64,-225.450129487445,0
65,-552.356737193666,0
66,-314.455871255849,0
67,-1043.79744229582,0
68,-29.2669174548804,0
69,-530.05376705728,0
70,73.7225184587929,0
71,-550.68158973983,0
72,-1003.5840358588,0
73,-624.638389817823,0
74,-1191.68653264594,0
75,-1350.51947611112,0
76,-889.368218013611,0
77,-1179.89630999213,0
78,-1077.05475036142,0
79,-1093.86484602733,0
80,-1351.3339052163,0
81,-1378.7334393277,0
82,-1266.02198532189,0
83,-858.488134004984,0
84,-1776.19722545217,0
85,-1094.99847285274,0
86,-1197.26484810294,0
87,-967.593971109797,0
88,-1428.26935424819,0
89,-1209.28359992785,0
90,-1243.58247400167,0
91,-1507.85286804402,0
92,-920.823615237813,0
93,-924.965710875449,0
94,-1061.83185551943,0
95,-749.058216466744,0
96,-1066.34480024053,0
97,-1646.92872070678,0
98,-1383.64311044103,0
99,-1565.18105789385,0
100,-1278.99225446353,0
101,-1286.72439280604,0
102,-1023.2662606422,0
103,-1291.40487796339,0
104,-887.256336084515,0
105,-1103.03600013699,0
106,-245.479409799046,0
