timestamps,value,anomaly,changepoint,trend,noise,seasonality1,seasonality2,seasonality3
1,-9.85084465670432,0,0,0,-9.85084465670432,0,0,0
2,115.314243369091,0,0,0,29.6853479778971,66.4,17.0302931677459,2.19860222344795
3,123.364744264039,0,0,0,-28.9375588614165,115.008173622573,32.9,4.39412950288175
4,182.619650397394,0,0,0,-3.29148699955555,132.8,46.5276262020748,6.5835111948745
5,162.119908207355,0,0,0,-18.6364222353932,115.008173622573,56.9844715690161,8.76368525115906
6,116.315650191093,0,0,0,-24.5738716799075,66.4,63.5579193698207,10.9316025011794
7,113.117156586274,0,0,0,34.2329256696429,1.62633094926769e-14,65.8,13.0842309166313
8,12.7577722115305,0,0,0,0.381292989681542,-66.4,63.5579193698207,15.2185598520282
9,-44.7710580690402,0,0,0,-4.07896027084398,-115.008173622573,56.9844715690161,17.3316042553612
10,-67.0986021219726,0,0,0,-0.246637167011244,-132.8,46.5276262020748,19.4204088429638
11,-77.6987560319065,0,0,0,-17.072634642077,-115.008173622573,32.9,21.482052232744
12,-26.3794915839751,0,0,0,-0.523435781721656,-66.4000000000001,17.0302931677459,23.5136510300008
13,34.6547960409121,0,0,0,9.14243218079967,-3.25266189853537e-14,8.05817593838958e-15,25.5123638601124
14,104.124139564096,0,0,0,27.2790373893856,66.4,-17.0302931677459,27.475395342456
15,93.0473173841169,0,0,0,-18.4608562384566,115.008173622573,-32.9,29.4
16,126.734582662461,0,0,0,9.17872276543407,132.8,-46.5276262020748,31.2834860991018
17,67.3044177447783,0,0,0,-23.8425037229201,115.008173622574,-56.984471569016,33.123219414141
18,123.61438982794,0,0,0,85.8556822860391,66.4,-63.5579193698207,34.9166269117219
19,-32.0129688547457,0,0,0,-2.87416920403923,4.87899284780306e-14,-65.8,36.6612003492935
20,-52.090697138383,0,0,0,39.5127224482841,-66.3999999999999,-63.5579193698207,38.3544997831535
21,-174.354922510095,0,0,0,-42.356434299435,-115.008173622573,-56.9844715690161,39.9941569809301
22,-112.79867742707,0,0,0,24.9510700412358,-132.8,-46.5276262020748,41.577878733769
23,-156.280286210181,0,0,0,-51.4755626512011,-115.008173622574,-32.9,43.1034500635938
24,9.77252271575052,0,0,0,48.634078562544,-66.4000000000002,-17.0302931677459,44.5687373209526
25,28.7679748913106,0,0,0,-17.2037162778095,-6.50532379707074e-14,-1.61163518767792e-14,45.9716911691201
26,97.5727049990823,0,0,0,-33.1679376189438,66.4000000000001,17.0302931677459,47.3103494502801
27,182.42193760714,0,0,0,-14.0690759452137,115.008173622573,32.9,48.5828399297805
28,207.727448908212,0,0,0,-21.3875602084863,132.8,46.5276262020748,49.7873829146231
29,224.590682926491,0,0,0,1.67574399237657,115.008173622574,56.984471569016,50.922293742525
30,195.035151360645,0,0,0,13.0912468527534,66.4,63.5579193698207,51.9859851380711
31,142.125447387847,0,0,0,23.3484779551848,3.17216735735738e-13,65.8,52.9769694326623
32,37.2611846920566,0,0,0,-13.7905953229188,-66.3999999999999,63.5579193698207,53.8938606451546
33,-4.30773596973329,0,0,0,-1.01941033645526,-115.008173622573,56.9844715690161,54.7353764202792
34,0.245516304863063,0,0,0,31.0175502806563,-132.8,46.5276262020748,55.500339822132
35,-22.9057940007199,0,0,0,3.01469864162847,-115.008173622573,32.9,56.1876809802251
36,26.1716181521142,0,0,0,18.7448863985711,-66.4,17.0302931677459,56.7964385857972
37,54.5496161301501,0,0,0,-2.77614510614111,-9.75798569560611e-14,2.41745278151687e-14,57.3257612362912
