timestamps,value,anomaly,changepoint,trend,noise,seasonality1,seasonality2,seasonality3
1,-3.95490227721104,0,0,1,-4.95490227721104,0,0,0
2,1251.01343245054,0,0,2,524.50033380698,488,210.937521758554,25.5755768850067
3,1217.34668046803,0,0,3,-89.5094976386913,845.240794093612,407.5,51.1153840131142
4,1431.37044495384,0,0,4,-201.505283367856,976,576.292026667036,76.5837016546626
5,1638.05280351965,0,0,5,-19.9436047227801,845.240794093612,705.810704084317,101.944910064503
6,1169.13643295094,0,0,6,-239.25665477408,488,787.229548425591,127.163539299434
7,1242.49146859367,0,0,7,268.287149767555,1.19525527596782e-13,815,152.204318826119
8,309.805873420377,0,0,8,-174.455901855338,-488,787.229548425591,177.032226850124
9,127.580686611758,0,0,9,56.3982373239939,-845.240794093612,705.810704084318,201.612539297058
10,-245.1996076739,0,0,10,-81.4025127182704,-976,576.292026667036,225.910878377334
11,-528.216607224557,0,0,11,-351.369073797559,-845.240794093612,407.5,249.893260666614
12,-146.205047207248,0,0,12,-154.668713600505,-488,210.937521758555,273.526144634703
13,467.505673385938,0,0,13,157.729195829529,-2.39051055193563e-13,9.98087141305093e-14,296.77647755641
14,352.42483695345,0,0,14,-258.24938302677,488,-210.937521758554,319.611741738774
15,706.164922873284,0,0,15,-88.5758712203282,845.240794093612,-407.5,342
16,1150.45270229267,0,0,16,370.834788623213,976,-576.292026667036,363.90994033649
17,962.884361145405,0,0,17,421.143351420592,845.240794093613,-705.810704084317,385.310919715518
18,83.3763184436948,0,0,18,-41.5671400629895,488,-787.229548425591,406.173006932275
19,-219.647897511109,0,0,19,149.885078017517,3.58576582790345e-13,-815,426.467024471374
20,-292.765616511057,0,0,20,516.299342600299,-487.999999999999,-787.229548425591,446.164589314235
21,-923.009037642335,0,0,21,141.804307900286,-845.240794093612,-705.810704084317,465.238152635309
22,-938.158977569163,0,0,22,108.472010766275,-976,-576.292026667036,483.661038331598
23,-800.744876878838,0,0,23,-72.4115631168266,-845.240794093613,-407.5,501.407480331601
24,-72.2593416360523,0,0,24,84.2255214910143,-488.000000000001,-210.937521758555,518.45265863149
25,355.232908946341,0,0,25,-204.539825061791,-4.78102110387127e-13,-1.99617428261019e-13,534.772734008132
26,1117.91413856515,0,0,26,-157.368264553811,488.000000000001,210.937521758555,550.344881360401
27,1835.51273637388,0,0,27,-9.37537935187214,845.240794093612,407.5,565.14732163214
28,1910.29388532791,0,0,28,-249.157493611271,976,576.292026667036,579.159352272146
29,2124.9044956478,0,0,29,-47.5083787186905,845.240794093613,705.810704084317,592.361376188556
30,1942.90029343777,0,0,30,32.9358158550233,488,787.229548425591,604.734929157153
31,1207.11738779426,0,0,31,-255.145317850993,2.33135191323855e-12,815,616.262705645255
32,733.250271287057,0,0,32,-224.907860153599,-487.999999999999,787.229548425591,626.928583015064
33,818.921772082683,0,0,33,288.634218019341,-845.240794093611,705.810704084318,636.717644072636
34,182.131215442782,0,0,34,-97.7770091551777,-976,576.292026667036,645.616197930923
35,310.145709123238,0,0,35,59.2747040591298,-845.240794093612,407.5,653.61179915772
36,565.281576369913,0,0,36,145.650789429636,-488,210.937521758554,660.693265181723
37,142.467521314119,0,0,37,-561.383170618248,-7.1715316558069e-13,2.99426142391528e-13,666.850691932367
38,1422.69472650999,0,0,38,435.55678057698,487.999999999999,-210.937521758554,672.075467691569
39,934.425054906772,0,0,39,-218.676024324828,845.240794093611,-407.499999999999,676.360285137988
40,814.554216201761,0,0,40,-304.852908698181,976,-576.292026667036,679.699151566978
41,1211.09988073709,0,0,41,348.582393455868,845.240794093612,-705.810704084318,682.087397271927
42,391.056260602968,0,0,42,-35.2358730467097,488.000000000003,-787.22954842559,683.521682075265
43,-81.191549104188,0,0,43,6.80845089581121,8.36678693177472e-13,-815,684
44,-724.870073393083,0,0,44,-177.162207042758,-487.999999999999,-787.229548425591,683.521682075265
45,-648.077719089175,0,0,45,175.886381816827,-845.240794093611,-705.810704084318,682.087397271927
46,-654.966511777088,0,0,46,171.62636332297,-976,-576.292026667036,679.699151566978
47,-671.732965405344,0,0,47,-142.352456449717,-845.240794093614,-407.500000000001,676.360285137988
48,101.314492500447,0,0,48,80.1765465674329,-488,-210.937521758555,672.075467691569
49,1131.51206428799,0,0,49,415.661372355624,-9.56204220774253e-13,-3.99234856522037e-13,666.850691932367
50,1530.73310062584,0,0,50,121.102313685569,487.999999999999,210.937521758554,660.693265181723
51,1721.77769824775,0,0,51,-235.574895003584,845.240794093613,407.500000000001,653.61179915772
52,2113.91236337412,0,0,52,-135.995861223844,976,576.292026667035,645.616197930923
53,2450.52649241643,0,0,53,209.757350165867,845.240794093612,705.810704084318,636.717644072636
54,1786.52373329031,0,0,54,-169.634398150344,488,787.229548425591,626.928583015064
55,712.590427348354,0,0,55,-773.672278296902,1.07572974837104e-12,815,616.262705645255
56,1322.16954752302,0,0,56,362.20506994028,-488.000000000002,787.22954842559,604.734929157153
57,265.398584086717,0,0,57,-244.532702092546,-845.240794093611,705.810704084318,592.361376188556
58,119.609195892206,0,0,58,-117.842183046977,-976,576.292026667037,579.159352272146
59,28.129114426314,0,0,59,-158.277413112214,-845.240794093612,407.5,565.14732163214
60,163.81541591907,0,0,60,-169.466987199885,-488.000000000001,210.937521758555,550.344881360401
61,1007.06201488557,0,0,61,411.28928087744,-4.66270382647711e-12,1.94677439476375e-12,534.772734008132
62,977.765867669598,0,0,62,120.250730796664,487.999999999998,-210.937521758554,518.45265863149
63,1031.62861301795,0,0,63,29.4803385927413,845.240794093611,-407.499999999999,501.407480331601
64,820.256558422212,0,0,64,-127.11245324235,976,-576.292026667036,483.661038331599
65,799.351464314066,0,0,65,129.68322166946,845.240794093614,-705.810704084317,465.238152635309
66,463.13028943492,0,0,66,250.195248546274,488.000000000001,-787.229548425591,446.164589314235
67,-556.207898056979,0,0,67,-234.67492252835,-2.15266774694469e-12,-815,426.467024471374
68,-803.57613053175,0,0,68,-2.51958903843537,-487.999999999998,-787.229548425591,406.173006932275
69,-1341.45428299608,0,0,69,-244.713704533666,-845.240794093613,-705.810704084317,385.310919715517
70,-1333.11836102804,0,0,70,-214.736274697494,-976,-576.292026667037,363.90994033649
71,-1092.00265110221,0,0,71,-252.261857008598,-845.240794093612,-407.5,342
72,-822.287427171409,0,0,72,-514.961647151632,-487.999999999998,-210.937521758553,319.611741738774
73,427.422699567104,0,0,73,57.646222010696,-1.43430633116138e-12,-5.98852284783056e-13,296.77647755641
74,724.376547206433,0,0,74,-322.087119186818,487.999999999995,210.937521758552,273.526144634703
75,1546.42762644448,0,0,75,-31.2064283157412,845.240794093611,407.499999999999,249.893260666614
76,1535.02863043973,0,0,76,-319.17427460464,976,576.292026667036,225.910878377334
77,1894.51062905971,0,0,77,64.8465915847183,845.240794093614,705.810704084317,201.612539297059
78,2103.18275528027,0,0,78,572.920980004557,488.000000000001,787.229548425591,177.032226850124
79,1049.4087342601,0,0,79,3.20441543397816,5.02128040926745e-12,815,152.204318826119
80,888.814704447452,0,0,80,382.421616722425,-487.999999999998,787.229548425591,127.163539299434
81,-65.4548418038709,0,0,81,-108.969661859079,-845.240794093613,705.810704084317,101.944910064503
82,-608.964130347133,0,0,82,-367.839858668833,-976,576.292026667037,76.5837016546627
83,-195.293686884078,0,0,83,108.331723196421,-845.240794093616,407.500000000003,51.1153840131145
84,-315.162804899915,0,0,84,-147.675903543477,-487.999999999998,210.937521758553,25.5755768850066
85,459.855899934016,0,0,85,374.855899934017,-1.67335738635494e-12,6.98660998913565e-13,8.3765841061679e-14
86,533.281116752206,0,0,86,195.794215395767,488.000000000001,-210.937521758555,-25.5755768850067
87,545.932170892119,0,0,87,72.3067608116211,845.240794093611,-407.499999999999,-51.115384013114
88,386.046599523776,0,0,88,-25.0776721545274,976,-576.292026667034,-76.5837016546625
89,156.730055992651,0,0,89,30.2448760478568,845.240794093614,-705.810704084317,-101.944910064503
90,-311.638063372881,0,0,90,24.7550243521425,488.000000000001,-787.22954842559,-127.163539299434
91,-736.954514572636,0,0,91,139.249804253485,-1.67456563655756e-12,-815,-152.204318826119
92,-1562.58099680129,0,0,92,-202.319221525573,-487.999999999998,-787.229548425591,-177.032226850124
93,-1375.70253834312,0,0,93,283.961499131863,-845.240794093609,-705.810704084319,-201.612539297058
94,-2001.29495864756,0,0,94,-317.092053603188,-976,-576.292026667037,-225.910878377334
95,-1148.55269215889,0,0,95,259.081362601335,-845.240794093613,-407.5,-249.893260666614
96,-1149.51504309102,0,0,96,-273.051376697762,-487.999999999998,-210.937521758554,-273.526144634703
97,-334.835261460297,0,0,97,-135.058783903885,-1.91240844154851e-12,-7.98469713044074e-13,-296.77647755641
98,537.800873623387,0,0,98,60.4750936036144,487.999999999995,210.937521758552,-319.611741738774
99,1105.84774596979,0,0,99,96.1069518761828,845.240794093611,407.499999999999,-342
100,931.770580136797,0,0,100,-356.611506193749,976,576.292026667036,-363.90994033649
101,1623.24285909184,0,0,101,356.502280629427,845.240794093611,705.810704084318,-385.310919715518
102,1195.03356147839,0,0,102,223.977019985072,488.000000000001,787.22954842559,-406.173006932275
103,399.687233144962,0,0,103,-91.8457423836702,5.49938251965458e-12,815,-426.467024471374
104,314.26011888281,0,0,104,357.195159771452,-487.999999999998,787.229548425591,-446.164589314235
105,-707.078827771112,0,0,105,-207.410585126508,-845.240794093612,705.810704084317,-465.238152635309
106,-976.466128272954,0,0,106,-199.097116608391,-976,576.292026667035,-483.661038331598
107,-921.091417756503,0,0,107,-88.94314333129,-845.240794093613,407.5,-501.407480331601
108,-679.288573912947,0,0,108,8.22656295999073,-488.000000000004,210.937521758556,-518.45265863149
109,-1059.45047240301,0,0,109,-633.677738394877,-2.15145949674207e-12,8.98278427174584e-13,-534.772734008132
110,-61.180204966113,0,0,110,102.102198152845,487.999999999995,-210.937521758552,-550.344881360401
111,-157.118960016752,0,0,111,-140.712432478224,845.240794093614,-407.500000000001,-565.14732163214
112,-152.678161164732,0,0,112,-85.2267822255495,976,-576.292026667036,-579.159352272146
113,-335.146425162669,0,0,113,4.78486101658857,845.240794093614,-705.810704084317,-592.361376188556
114,-657.967660731982,0,0,114,131.99681685076,488.000000000001,-787.22954842559,-604.734929157153
115,-1363.20638028196,0,0,115,-46.9436746367078,5.73843357484814e-12,-815,-616.262705645255
116,-1581.79546019862,0,0,116,204.362671242037,-488.000000000003,-787.22954842559,-626.928583015064
117,-2153.95971825059,0,0,117,-83.1905760000218,-845.240794093612,-705.810704084317,-636.717644072636
118,-2434.85427577724,0,0,118,-354.946051179275,-976,-576.292026667037,-645.616197930923
119,-1585.26865344884,0,0,119,202.083939802492,-845.240794093613,-407.5,-653.61179915772
120,-1411.16132275934,0,0,120,-171.530535819059,-488.000000000005,-210.937521758557,-660.693265181723
121,-542.184118071056,0,0,121,3.66657386132484,-9.32540765295421e-12,-3.8935487895275e-12,-666.850691932367
122,169.227849503356,0,0,122,20.3657954363705,488,210.937521758555,-672.075467691569
123,786.859820810728,0,0,123,87.4793118551064,845.24079409361,407.499999999999,-676.360285137988
124,771.893075477544,0,0,124,-224.699799622512,976,576.292026667034,-679.699151566978
125,1333.78297914639,0,0,125,339.818878240386,845.240794093615,705.810704084317,-682.087397271927
126,581.003075182261,0,0,126,-136.704791168066,488.000000000002,787.22954842559,-683.521682075265
127,-69.2680555133418,0,0,127,-327.268055513341,-9.57412470976874e-13,815,-684
128,-294.634455676233,0,0,128,-38.3423220265555,-488.000000000003,787.22954842559,-683.521682075265
129,-95.7491568737497,0,0,129,596.768330407467,-845.240794093609,705.810704084319,-682.087397271927
130,-716.358106982912,0,0,130,233.049017917028,-976,576.292026667038,-679.699151566978
131,-1022.79563757856,0,0,131,-39.694558346959,-845.240794093613,407.500000000001,-676.360285137988
132,-795.185964373585,0,0,132,21.9519815594286,-487.999999999999,210.937521758554,-672.075467691569
133,-352.421976881466,0,0,133,181.428715050898,4.30533549388938e-12,-1.79756579278681e-12,-666.850691932367
134,-506.256594368364,0,0,134,-256.625807428084,487.999999999994,-210.937521758552,-660.693265181723
135,81.0568701868298,0,0,135,161.927875250938,845.24079409361,-407.499999999999,-653.61179915772
136,-322.409398552891,0,0,136,-212.501173954932,976,-576.292026667036,-645.616197930923
137,-1004.80860611901,0,0,137,-644.521052055665,845.240794093611,-705.810704084318,-636.717644072636
138,-835.827536835313,0,0,138,-47.6694053946545,487.999999999996,-787.229548425591,-626.928583015064
